Name,Type,Region,Province,City_Muni,Lat,Lon
Allah River,river,Region XII (Soccsksargen),Sultan Kudarat,Lambayong (Mariano Marcos),6.688195,124.580423
Allah River,river,Region XII (Soccsksargen),Sultan Kudarat,Santo Niño,6.474874,124.617901
Allah River,river,Region XII (Soccsksargen),Sultan Kudarat,Sultan Sa Barongis (Lambayong),6.873262,124.609372
Allah River,river,Region XII (Soccsksargen),Sultan Kudarat,Surallah,6.426203,124.667612
Allah River,river,Region XII (Soccsksargen),Sultan Kudarat,T'Boli,6.576317,124.595502
Almanza Creek,river,National Capital Region (NCR),Metropolitan Manila Fourth District,City of Las Piñas,14.425026,121.015008
Almanza Creek,stream,National Capital Region (NCR),Metropolitan Manila Fourth District,City of Las Piñas,14.428122,121.018201
Alngon,river,Region VI (Western Visayas),Capiz,President Roxas,11.438798,122.935479
Aloague River,stream,Region IV-A (Calabarzon),Cavite,Alfonso,14.111296,120.875126
Aloague River,stream,Region IV-A (Calabarzon),Cavite,Tagaytay City,14.111296,120.875126
Along Dry Creekbed,river,Mimaropa Region,Marinduque,Buenavista,13.27172,121.950974
Aloragat River,river,Region I (Ilocos Region),Pangasinan,Binalonan,16.083205,120.564271
Aloragat River,river,Region I (Ilocos Region),Pangasinan,Laoac,16.030466,120.507792
Aloragat River,river,Region I (Ilocos Region),Pangasinan,Manaoag,16.032819,120.472849
Aloragat River,river,Region I (Ilocos Region),Pangasinan,Mapandan,16.037488,120.46854
Aloragat River,river,Region I (Ilocos Region),Pangasinan,Pozorrubio,16.083205,120.564271
Aloragat River,river,Region I (Ilocos Region),Pangasinan,Sison,16.083205,120.564271
Alpaparay River,river,Mimaropa Region,Oriental Mindoro,Baco,13.290148,121.070495
Alubijid River,river,Region X (Northern Mindanao),Misamis Oriental,Alubijid,8.521578,124.437697
Alulod River,river,Region IV-A (Calabarzon),Batangas,Malvar,14.015772,121.14804
Amalungan Creek,river,Region III (Central Luzon),Nueva Ecija,Gabaldon (Bitulok & Sabani),15.560741,121.256205
Ambal River,river,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Norte,Barira,7.40076,124.353612
Ambal River,river,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Norte,Buldon,7.40076,124.353612
Ambal River,river,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Norte,Parang,7.40076,124.353612
